pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,855.3769
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,887.4003
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,916.5507
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,916.3418
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,901.68896
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,881.08685
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,857.44653
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,855.3769
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,887.4003
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,916.5507
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,916.3418
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,901.68896
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,881.08685
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,857.44653
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,855.3769
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,887.4003
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,916.5507
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,916.3418
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,901.68896
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,881.08685
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,857.44653
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,855.3769
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,887.4003
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,916.5507
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,916.3418
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,901.68896
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,881.08685
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,857.44653
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,855.3769
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,887.4003
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,916.5507
